"","dme-miR-1","dme-miR-2a","dme-miR-2b","dme-miR-3","dme-miR-4","dme-miR-5","dme-miR-6","dme-miR-7","dme-miR-8","dme-miR-9a","dme-miR-10-5p","dme-miR-10-3p","dme-miR-11","dme-miR-13a","dme-miR-13b","dme-miR-14","dme-miR-263a","dme-miR-184","dme-miR-274","dme-miR-275","dme-miR-92a","dme-miR-219","dme-miR-276a","dme-miR-277","dme-miR-278","dme-miR-133","dme-miR-279","dme-miR-33","dme-miR-281","dme-miR-282","dme-miR-283","dme-miR-284","dme-miR-281-2*","dme-miR-34","dme-miR-124","dme-miR-79","dme-miR-276b","dme-miR-210","dme-miR-285","dme-miR-100","dme-miR-92b","dme-miR-286","dme-miR-87","dme-miR-263b","dme-bantam","dme-miR-31b","dme-miR-304","dme-miR-305","dme-miR-9c","dme-miR-306","dme-miR-9b","dme-let-7","dme-miR-125","dme-miR-307","dme-miR-308","dme-miR-31a","dme-miR-309","dme-miR-310","dme-miR-311","dme-miR-312","dme-miR-313","dme-miR-314","dme-miR-315","dme-miR-316","dme-miR-317","dme-miR-318","dme-miR-2c","dme-miR-iab-4-5p","dme-miR-iab-4-3p","dme-miR-iab-4as-5p","dme-miR-955","dme-miR-190","dme-miR-193","dme-miR-956","dme-miR-957","dme-miR-958","dme-miR-375","dme-miR-960","dme-miR-962","dme-miR-963","dme-miR-964","dme-miR-932","dme-miR-965","dme-miR-1002","dme-miR-968","dme-miR-969","dme-miR-970","dme-miR-971","dme-miR-974","dme-miR-976","dme-miR-977","dme-miR-980","dme-miR-981","dme-miR-927","dme-miR-986","dme-miR-987","dme-miR-988","dme-miR-989","dme-miR-137","dme-miR-929","dme-miR-993","dme-miR-994","dme-miR-995","dme-miR-996","dme-miR-252","dme-miR-998","dme-miR-999","dme-miR-1000","dme-miR-1003","dme-miR-1004","dme-miR-1006","dme-miR-1007","dme-miR-1010","dme-miR-1011","dme-miR-1014","dme-miR-1017","dme-miR-12","dme-miR-184*","dme-miR-276*","dme-miR-280","dme-miR-281-1*","dme-miR-287","dme-miR-288","dme-miR-289","dme-miR-303","dme-miR-306*","dme-miR-iab-4as-3p","dme-miR-954","dme-miR-959","dme-miR-961","dme-miR-966","dme-miR-967","dme-miR-972","dme-miR-973","dme-miR-975","dme-miR-978","dme-miR-979","dme-miR-982","dme-miR-983","dme-miR-984","dme-miR-985","dme-miR-990","dme-miR-991","dme-miR-992","dme-miR-995*","dme-miR-997","dme-miR-1001","dme-miR-1005","dme-miR-1008","dme-miR-1009","dme-miR-1012","dme-miR-1013","dme-miR-1015","dme-miR-1016","dme-miR-2279*","dme-miR-2279","dme-miR-2280","dme-miR-2280*","dme-miR-2281*","dme-miR-2281","dme-miR-2282","dme-miR-2283","dme-miR-307-as*","dme-miR-307-as","dme-miR-2489","dme-miR-2490","dme-miR-2491","dme-miR-2492","dme-miR-2493*","dme-miR-2493","dme-miR-2494*","dme-miR-2494","dme-miR-2495","dme-miR-2495*","dme-miR-2496*","dme-miR-2496","dme-miR-2497*","dme-miR-2497","dme-miR-2498*","dme-miR-2498","dme-miR-2499*","dme-miR-2499","dme-miR-2500*","dme-miR-2500","dme-miR-2501","dme-miR-2501*","dme-miR-4951","dme-miR-3642","dme-miR-3643","dme-miR-3644","dme-miR-3645","dme-miR-4966","dme-miR-4968","dme-miR-4969","dme-miR-4976"
"815",NA,NA,NA,NA,"37311",NA,NA,NA,"38968","32973",NA,"317911",NA,NA,NA,NA,"43546",NA,"31352",NA,"5740203",NA,NA,"40055",NA,NA,NA,NA,NA,NA,"37841",NA,NA,NA,NA,"41913",NA,NA,NA,NA,"36041",NA,NA,NA,NA,NA,NA,"3772288","41945",NA,"49762",NA,NA,NA,NA,NA,NA,"48903","37485","42477","53557",NA,"39876","39663",NA,NA,NA,NA,NA,"40185",NA,"38485",NA,NA,NA,NA,"42962","35793","34321",NA,"41945",NA,NA,"3346192",NA,NA,NA,"36547",NA,"33658",NA,NA,NA,"31394",NA,"35118",NA,NA,"39106",NA,NA,NA,NA,NA,"32073",NA,"36806","42284",NA,NA,"41262",NA,NA,"37423","36664",NA,"31593",NA,NA,"35494",NA,"37419","41931","41273","37130",NA,"31136",NA,NA,NA,NA,NA,"34578",NA,NA,NA,NA,NA,"42477",NA,"36681",NA,"41824",NA,NA,NA,NA,NA,NA,"31293",NA,"38063",NA,NA,"34454",NA,"32274","39479","40555",NA,NA,"32226",NA,NA,"59173",NA,NA,"33849",NA,NA,NA,NA,NA,NA,NA,NA,"35521","31420",NA,NA,NA,NA,NA,"40780","34646",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"816",NA,NA,NA,NA,"38622",NA,NA,NA,"5740501","40749",NA,"48440",NA,NA,NA,NA,"36722",NA,"33248",NA,"246528",NA,NA,"35850",NA,NA,NA,NA,NA,NA,"3355133",NA,NA,NA,NA,"42885",NA,NA,NA,NA,"42212",NA,NA,NA,NA,NA,NA,"40893","34225",NA,"34455",NA,NA,NA,NA,NA,NA,"32446","38419","317854","40196",NA,"36111","38774",NA,NA,NA,NA,NA,"34582",NA,"3885652",NA,NA,NA,NA,"36099","33467","33991",NA,"35492",NA,NA,"32875",NA,NA,NA,"34809",NA,"5740414",NA,NA,NA,"246596",NA,"42210",NA,NA,"34282",NA,NA,NA,NA,NA,"34089",NA,"32400","36741",NA,NA,"36678",NA,NA,"46080","39476",NA,"44029",NA,NA,"43597",NA,"37319","31738","33331","50110",NA,"3885647",NA,NA,NA,NA,NA,"36432",NA,NA,NA,NA,NA,"39399",NA,"36238",NA,"41434",NA,NA,NA,NA,NA,NA,"42589",NA,"36562",NA,NA,"45343",NA,"34910","38545","326130",NA,NA,"32896",NA,NA,"31042",NA,NA,"37191",NA,NA,NA,NA,NA,NA,NA,NA,"38496","33239",NA,NA,NA,NA,NA,"43315","32677",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"817",NA,NA,NA,NA,"37787",NA,NA,NA,"2768945","36099",NA,"36712",NA,NA,NA,NA,"33893",NA,"34835",NA,"37344",NA,NA,"35781",NA,NA,NA,NA,NA,NA,"36055",NA,NA,NA,NA,"40949",NA,NA,NA,NA,"35005",NA,NA,NA,NA,NA,NA,"44254","33957",NA,"39242",NA,NA,NA,NA,NA,NA,"5740203","39399","42707","33221",NA,"41022","37043",NA,NA,NA,NA,NA,"36030",NA,"38907",NA,NA,NA,NA,"37925","31593","31489",NA,"42651",NA,NA,"34616",NA,NA,NA,"32408",NA,"38779",NA,NA,NA,"32267",NA,"2768999",NA,NA,"39093",NA,NA,NA,NA,NA,"39389",NA,"31580","42788",NA,NA,"49228",NA,NA,"246459","40104",NA,"251900",NA,NA,"43236",NA,"42527","38864","38080","39957",NA,"5740878",NA,NA,NA,NA,NA,"33389",NA,NA,NA,NA,NA,"32400",NA,"38504",NA,"32259",NA,NA,NA,NA,NA,NA,"31208",NA,"2768981",NA,NA,"43241",NA,"38976","32112","31287",NA,NA,"41273",NA,NA,"33112",NA,NA,"36456",NA,NA,NA,NA,NA,NA,NA,NA,"34003","34934",NA,NA,NA,NA,NA,"32075","31229",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"818",NA,NA,NA,NA,"32017",NA,NA,NA,"32341","37893",NA,"43651",NA,NA,NA,NA,"42682",NA,"38477",NA,"40361",NA,NA,"38428",NA,NA,NA,NA,NA,NA,"32589",NA,NA,NA,NA,"36628",NA,NA,NA,NA,"41939",NA,NA,NA,NA,NA,NA,"3772670","40382",NA,"31764",NA,NA,NA,NA,NA,NA,"246528","317866","38419","37950",NA,"40813","48532",NA,NA,NA,NA,NA,"32965",NA,"36357",NA,NA,NA,NA,"43241","44029","31024",NA,"32208",NA,NA,"53558",NA,NA,NA,"42056",NA,"31805",NA,NA,NA,"41417",NA,"32493",NA,NA,"41185",NA,NA,NA,NA,NA,"38484",NA,"37364","31646",NA,NA,"32581",NA,NA,"41810","39710",NA,"326197",NA,NA,"38918",NA,"39382","41611","42945","40977",NA,"47769",NA,NA,NA,NA,NA,"31255",NA,NA,NA,NA,NA,"31580",NA,"317939",NA,"36858",NA,NA,NA,NA,NA,NA,"32520",NA,"35192",NA,NA,"33953",NA,"44135","42450","39218",NA,NA,"33331",NA,NA,"42687",NA,NA,"39458",NA,NA,NA,NA,NA,NA,NA,NA,"5740185","42663",NA,NA,NA,NA,NA,"41823","39294",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"819",NA,NA,NA,NA,"41601",NA,NA,NA,"31610","40605",NA,"31854",NA,NA,NA,NA,"41771",NA,"39429",NA,"38736",NA,NA,"40368",NA,NA,NA,NA,NA,NA,"35787",NA,NA,NA,NA,"246551",NA,NA,NA,NA,"38085",NA,NA,NA,NA,NA,NA,"37648","38047",NA,"33289",NA,NA,NA,NA,NA,NA,"37344","3771968","39399","41169",NA,"38513","41305",NA,NA,NA,NA,NA,"39671",NA,"31945",NA,NA,NA,NA,"34227","251900","42436",NA,"31168",NA,NA,"47186",NA,NA,NA,"50228",NA,"37766",NA,NA,NA,"326234",NA,"38657",NA,NA,"35889",NA,NA,NA,NA,NA,"5740407",NA,"33499","41784",NA,NA,"42374",NA,NA,"44128","38844",NA,"41861",NA,NA,"40835",NA,"40876","38357","41105","32343",NA,"35715",NA,NA,NA,NA,NA,"39001",NA,NA,NA,NA,NA,"41602",NA,"38055",NA,"32694",NA,NA,NA,NA,NA,NA,"318966",NA,"39271",NA,NA,"39625",NA,"39629","34645","32256",NA,NA,"31028",NA,NA,"36456",NA,NA,"43918",NA,NA,NA,NA,NA,NA,NA,NA,"47082","38727",NA,NA,NA,NA,NA,"38469","33349",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"820",NA,NA,NA,NA,"36692",NA,NA,NA,"37528","34616",NA,"42289",NA,NA,NA,NA,"246556",NA,"31759",NA,"36041",NA,NA,"44289",NA,NA,NA,NA,NA,NA,"318259",NA,NA,NA,NA,"43754",NA,NA,NA,NA,"37098",NA,NA,NA,NA,NA,NA,"38077","31664",NA,"35622",NA,NA,NA,NA,NA,NA,"40361","5740845","317866","42809",NA,"50044","33227",NA,NA,NA,NA,NA,"38786",NA,"41265",NA,NA,NA,NA,"36411","326197","43158",NA,"43630",NA,NA,"35695",NA,NA,NA,"41173",NA,"43042",NA,NA,NA,"42953",NA,"35286",NA,NA,"318563",NA,NA,NA,NA,NA,"37101",NA,"50063","37736",NA,NA,"36040",NA,NA,"35147","42680",NA,"31986",NA,NA,"31612",NA,"37914","37164","33835","38722",NA,"34997",NA,NA,NA,NA,NA,"37012",NA,NA,NA,NA,NA,"35107",NA,"36379",NA,"32626",NA,NA,NA,NA,NA,NA,"39165",NA,"40789",NA,NA,"43927",NA,NA,"43709","37009",NA,NA,"39160",NA,NA,"31806",NA,NA,"35955",NA,NA,NA,NA,NA,NA,NA,NA,"32241","42356",NA,NA,NA,NA,NA,"40791","47249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"821",NA,NA,NA,NA,"43581",NA,NA,NA,"31551","38863",NA,"32603",NA,NA,NA,NA,"36042",NA,"31927",NA,"42212",NA,NA,"41066",NA,NA,NA,NA,NA,NA,"36425",NA,NA,NA,NA,"36614",NA,NA,NA,NA,"39418",NA,NA,NA,NA,NA,NA,"42184","34749",NA,"32973",NA,NA,NA,NA,NA,NA,"38736","34736","3771968","39406",NA,"37482","36678",NA,NA,NA,NA,NA,"33619",NA,"43822",NA,NA,NA,NA,"39895","41861","45969",NA,"33957",NA,NA,"48632",NA,NA,NA,"43202",NA,"41687",NA,NA,NA,"40596",NA,"36057",NA,NA,"38635",NA,NA,NA,NA,NA,"33636",NA,"34736","246448",NA,NA,"246659",NA,NA,"42787","41304",NA,"33512",NA,NA,"33334",NA,"43096","33396","35688","44254",NA,"37621",NA,NA,NA,NA,NA,"32271",NA,NA,NA,NA,NA,"32000",NA,"42941",NA,"318872",NA,NA,NA,NA,NA,NA,"34003",NA,"35615",NA,NA,"326170",NA,NA,"39987","326198",NA,NA,"33835",NA,NA,"42339",NA,NA,"31459",NA,NA,NA,NA,NA,NA,NA,NA,"40817","34634",NA,NA,NA,NA,NA,"44129","5740402",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"822",NA,NA,NA,NA,"40439",NA,NA,NA,"38135","33900",NA,"40186",NA,NA,NA,NA,"31335",NA,"34009",NA,"35005",NA,NA,"33573",NA,NA,NA,NA,NA,NA,"34847",NA,NA,NA,NA,"31866",NA,NA,NA,NA,"32387",NA,NA,NA,NA,NA,NA,"33642","2768836",NA,"40749",NA,NA,NA,NA,NA,NA,"36041","40459","36585","42261",NA,"39902","32581",NA,NA,NA,NA,NA,"39730",NA,"40294",NA,NA,NA,NA,"318211","31986","33025",NA,"38047",NA,NA,"31960",NA,NA,NA,"5740442",NA,"43020",NA,NA,NA,"39389",NA,"35282",NA,NA,"32666",NA,NA,NA,NA,NA,"326210",NA,"36236","41905",NA,NA,"34667",NA,NA,"42738","32748",NA,"37547",NA,NA,"37451",NA,"47942","38587","36753","246422",NA,"35041",NA,NA,NA,NA,NA,"44747",NA,NA,NA,NA,NA,"34443",NA,"41351",NA,"37873",NA,NA,NA,NA,NA,NA,"46717",NA,"35541",NA,NA,"31591",NA,NA,"49809","41473",NA,NA,"36753",NA,NA,"39458",NA,NA,"31728",NA,NA,NA,NA,NA,NA,NA,NA,"46456","41825",NA,NA,NA,NA,NA,"37934","34358",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"823",NA,NA,NA,NA,"34145",NA,NA,NA,"39740","326115",NA,"32297",NA,NA,NA,NA,"36779",NA,"50070",NA,"41939",NA,NA,"43982",NA,NA,NA,NA,NA,NA,"35641",NA,NA,NA,NA,"40008",NA,NA,NA,NA,"39965",NA,NA,NA,NA,NA,NA,"35731","40621",NA,"32752",NA,NA,NA,NA,NA,NA,"42212","36236","5740845","42477",NA,"32604","36726",NA,NA,NA,NA,NA,"5740490",NA,"32499",NA,NA,NA,NA,"31086","33512","246497",NA,"36084",NA,NA,"32633",NA,NA,NA,"5740178",NA,"36086",NA,NA,NA,"246448",NA,"43745",NA,NA,"43074",NA,NA,NA,NA,NA,"37920",NA,"41843","39551",NA,NA,"36726",NA,NA,"31169","31497",NA,"33427",NA,NA,"32226",NA,"45775","35509","33513","42320",NA,"261615",NA,NA,NA,NA,NA,"36268",NA,NA,NA,NA,NA,"38364",NA,"41840",NA,"33702",NA,NA,NA,NA,NA,NA,"33656",NA,"246421",NA,NA,"36380",NA,NA,"32721","326188",NA,NA,"43633",NA,NA,"3772154",NA,NA,"31653",NA,NA,NA,NA,NA,NA,NA,NA,"37559","43805",NA,NA,NA,NA,NA,"33125","43660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"824",NA,NA,NA,NA,"2768908",NA,NA,NA,"47942","32517",NA,"33398",NA,NA,NA,NA,"36682",NA,"33690",NA,"38085",NA,NA,"42426",NA,NA,NA,NA,NA,NA,"38385",NA,NA,NA,NA,"44339",NA,NA,NA,NA,"41089",NA,NA,NA,NA,NA,NA,"37146","5740544",NA,"36099",NA,NA,NA,NA,NA,NA,"35005","3885567","34736","317854",NA,"34803","36068",NA,NA,NA,NA,NA,"44522",NA,"33505",NA,NA,NA,NA,"38116","37547","35943",NA,"35419",NA,NA,"43946",NA,NA,NA,"41124",NA,"38911",NA,NA,NA,"33577",NA,"44554",NA,NA,"43786",NA,NA,NA,NA,NA,"33292",NA,"3885567","43973",NA,NA,"45318",NA,NA,"31027","34192",NA,"39986",NA,NA,"41273",NA,"38091","32920","36073","35768",NA,"36897",NA,NA,NA,NA,NA,"40424",NA,NA,NA,NA,NA,"32069",NA,"42936",NA,"38571",NA,NA,NA,NA,NA,NA,"44497",NA,"43531",NA,NA,"3771920",NA,NA,"43326","38492",NA,NA,"41612",NA,NA,"32557",NA,NA,"3772427",NA,NA,NA,NA,NA,NA,NA,NA,"40353","41410",NA,NA,NA,NA,NA,"33281","40389",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"825",NA,NA,NA,NA,"326160",NA,NA,NA,"38492","39856",NA,"39693",NA,NA,NA,NA,"50466",NA,"32135",NA,"37098",NA,NA,"41470",NA,NA,NA,NA,NA,NA,"32212",NA,NA,NA,NA,"38968",NA,NA,NA,NA,"38494",NA,NA,NA,NA,NA,NA,"41090","34889",NA,"37893",NA,NA,NA,NA,NA,NA,"41939","32723","36236","42707",NA,"38489","42388",NA,NA,NA,NA,NA,"40795",NA,"31780",NA,NA,NA,NA,"36145","33427","53443",NA,"3772670",NA,NA,"43806",NA,NA,NA,"41592",NA,"31165",NA,NA,NA,"39551",NA,"48481",NA,NA,"35411",NA,NA,NA,NA,NA,"33047",NA,"34222","192506",NA,NA,"34696",NA,NA,"34969","32946",NA,"41244",NA,NA,"36053",NA,"37245","53561","39025","47065",NA,"43869",NA,NA,NA,NA,NA,"41401",NA,NA,NA,NA,NA,"41242",NA,"31976",NA,"44263",NA,NA,NA,NA,NA,NA,"36652",NA,"43164",NA,NA,"326115",NA,NA,"37973","42146",NA,NA,"36073",NA,NA,"39546",NA,NA,"45928",NA,NA,NA,NA,NA,NA,NA,NA,"35001","34231",NA,NA,NA,NA,NA,"40655","40961",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"826",NA,NA,NA,NA,"41958",NA,NA,NA,"41826","326216",NA,"43433",NA,NA,NA,NA,"43067",NA,"42047",NA,"39418",NA,NA,"41198",NA,NA,NA,NA,NA,NA,"37561",NA,NA,NA,NA,"31682",NA,NA,NA,NA,"41179",NA,NA,NA,NA,NA,NA,"41620","42265",NA,"40605",NA,NA,NA,NA,NA,NA,"38085","42208","3885567","38419",NA,"34051","34330",NA,NA,NA,NA,NA,"42125",NA,"42062",NA,NA,NA,NA,"43607","39986","32282",NA,"32469",NA,NA,"38116",NA,NA,NA,"36271",NA,"53565",NA,NA,NA,"39884",NA,"43434",NA,NA,"31079",NA,NA,NA,NA,NA,"31554",NA,"33629","38484",NA,NA,"37602",NA,NA,"3354987","41857",NA,"42178",NA,NA,"38080",NA,"31171","43640","31722","31970",NA,"39666",NA,NA,NA,NA,NA,"32524",NA,NA,NA,NA,NA,"39136",NA,"40583",NA,"3354861",NA,NA,NA,NA,NA,NA,"40551",NA,"33402",NA,NA,"40566",NA,NA,"33291","3772412",NA,NA,"3346209",NA,NA,"35955",NA,NA,"40464",NA,NA,NA,NA,NA,NA,NA,NA,"41341","34779",NA,NA,NA,NA,NA,"32888","38545",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"827",NA,NA,NA,NA,"33348",NA,NA,NA,"42100","32897",NA,"32073",NA,NA,NA,NA,"43110",NA,"326151",NA,"32387",NA,NA,"35908",NA,NA,NA,NA,NA,NA,"37542",NA,NA,NA,NA,"34844",NA,NA,NA,NA,"34320",NA,NA,NA,NA,NA,NA,"34826","43688",NA,"34616",NA,NA,NA,NA,NA,NA,"37098","3355106","37940","39399",NA,"43872","32088",NA,NA,NA,NA,NA,"35609",NA,"140439",NA,NA,NA,NA,"4379885","41244","44275",NA,"42265",NA,NA,"36145",NA,NA,NA,"41273",NA,"3771779",NA,NA,NA,"40002",NA,"32876",NA,NA,"37843",NA,NA,NA,NA,NA,"31451",NA,"41876","36377",NA,NA,"31596",NA,NA,"33211","246522",NA,"41460",NA,NA,"42945",NA,"39157","32452","43184","36662",NA,"317940",NA,NA,NA,NA,NA,"44115",NA,NA,NA,NA,NA,"318958",NA,"47998",NA,"37601",NA,NA,NA,NA,NA,NA,"36965",NA,"38727",NA,NA,"33450",NA,NA,"42350","38091",NA,NA,"39025",NA,NA,"39069",NA,NA,"38760",NA,NA,NA,NA,NA,NA,NA,NA,"42376","35314",NA,NA,NA,NA,NA,"32453","36527",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"828",NA,NA,NA,NA,"39582",NA,NA,NA,"45307","36411",NA,"42026",NA,NA,NA,NA,"246580",NA,"38590",NA,"39965",NA,NA,"32934",NA,NA,NA,NA,NA,NA,"43087",NA,NA,NA,NA,"42750",NA,NA,NA,NA,"43279",NA,NA,NA,NA,NA,NA,"37411","35490",NA,"38863",NA,NA,NA,NA,NA,NA,"39418","42050","35002","317866",NA,"37410","31596",NA,NA,NA,NA,NA,"40360",NA,"42136",NA,NA,NA,NA,"41475","42178","37360",NA,"318103",NA,NA,"32127",NA,NA,NA,"35576",NA,"37988",NA,NA,NA,"32728",NA,"326128",NA,NA,"30980",NA,NA,NA,NA,NA,"43277",NA,"53554","42961",NA,NA,"40301",NA,NA,"37646","32903",NA,"326112",NA,NA,"33011",NA,"37993","37146","35146","44279",NA,"34036",NA,NA,NA,NA,NA,"46032",NA,NA,NA,NA,NA,"42736",NA,"42752",NA,"34729",NA,NA,NA,NA,NA,NA,"326173",NA,"42865",NA,NA,"49968",NA,NA,"39332","32716",NA,NA,"31722",NA,NA,"31459",NA,NA,"43841",NA,NA,NA,NA,NA,NA,NA,NA,"43538","41848",NA,NA,NA,NA,NA,"34191","45875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"829",NA,NA,NA,NA,"37770",NA,NA,NA,"41294","318211",NA,"42953",NA,NA,NA,NA,"37551",NA,"32994",NA,"41089",NA,NA,"41963",NA,NA,NA,NA,NA,NA,"35168",NA,NA,NA,NA,"326130",NA,NA,NA,NA,"37311",NA,NA,NA,NA,NA,NA,"4379860","33276",NA,"170876",NA,NA,NA,NA,NA,NA,"32387","42956","32723","3771968",NA,"35235","32191",NA,NA,NA,NA,NA,"37174",NA,"47769",NA,NA,NA,NA,"3346235","41460","40949",NA,"36127",NA,NA,"33399",NA,NA,NA,"318924",NA,"32540",NA,NA,NA,"34615",NA,"36927",NA,NA,"37785",NA,NA,NA,NA,NA,"42799",NA,"38121","32613",NA,NA,"34767",NA,NA,"35618","42638",NA,"34409",NA,NA,"41105",NA,"37010","37770","43875","49241",NA,"32046",NA,NA,NA,NA,NA,"33991",NA,NA,NA,NA,NA,"34222",NA,"37322",NA,"317830",NA,NA,NA,NA,NA,NA,"39203",NA,"318651",NA,NA,"31797",NA,NA,"35788","50079",NA,NA,"43184",NA,NA,"31323",NA,NA,"39419",NA,NA,NA,NA,NA,NA,NA,NA,"41992","50188",NA,NA,NA,NA,NA,"33108","39433",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"830",NA,NA,NA,NA,"37570",NA,NA,NA,"34450","39813",NA,"39389",NA,NA,NA,NA,"36905",NA,"35316",NA,"38494",NA,NA,"39339",NA,NA,NA,NA,NA,NA,"49070",NA,NA,NA,NA,"42281",NA,NA,NA,NA,"35473",NA,NA,NA,NA,NA,NA,"34544","31628",NA,"33900",NA,NA,NA,NA,NA,NA,"39965","326252","42208","5740845",NA,"33402","39459",NA,NA,NA,NA,NA,"34569",NA,"50203",NA,NA,NA,NA,"37850","326112","39655",NA,"43062",NA,NA,"38051",NA,NA,NA,"31407",NA,"42305",NA,NA,NA,"38547",NA,"40398",NA,NA,"34277",NA,NA,NA,NA,NA,"39914",NA,"318868","319064",NA,NA,"35177",NA,NA,"37154","36953",NA,"38288",NA,NA,"31362",NA,"32896","40204","45012","43383",NA,"40565",NA,NA,NA,NA,NA,"38844",NA,NA,NA,NA,NA,"34106",NA,"2769004",NA,"33161",NA,NA,NA,NA,NA,NA,"34761",NA,"36961",NA,NA,"39878",NA,NA,"35326","3772677",NA,NA,"42428",NA,NA,"42194",NA,NA,"318259",NA,NA,NA,NA,NA,NA,NA,NA,"32746","34882",NA,NA,NA,NA,NA,"33045","38021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"831",NA,NA,NA,NA,"31393",NA,NA,NA,"41629","4379858",NA,"35292",NA,NA,NA,NA,"317831",NA,"36670",NA,"41179",NA,NA,"43462",NA,NA,NA,NA,NA,NA,"33593",NA,NA,NA,NA,"42527",NA,NA,NA,NA,"31179",NA,NA,NA,NA,NA,NA,"36582","40955",NA,"326115",NA,NA,NA,NA,NA,NA,"41089","32459","45307","34736",NA,"40036","46243",NA,NA,NA,NA,NA,"246497",NA,"35715",NA,NA,NA,NA,"34327","34409","33759",NA,"43043",NA,NA,"41592",NA,NA,NA,"44936",NA,"31383",NA,NA,NA,"32513",NA,"31702",NA,NA,"36485",NA,NA,NA,NA,NA,"42632",NA,"34780","40962",NA,NA,"37261",NA,NA,"33650","31771",NA,"35396",NA,NA,"33835",NA,"31706","45906","246454","318000",NA,"31254",NA,NA,NA,NA,NA,"36697",NA,NA,NA,NA,NA,"35002",NA,"38580",NA,"37218",NA,NA,NA,NA,NA,NA,"5740672",NA,"37730",NA,NA,"3772574",NA,NA,"3772082","40754",NA,NA,"41736",NA,NA,"32507",NA,NA,"32606",NA,NA,NA,NA,NA,NA,NA,NA,"318869","40288",NA,NA,NA,NA,NA,"38323","34645",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"832",NA,NA,NA,NA,"39768",NA,NA,NA,"2768907","64872",NA,"39551",NA,NA,NA,NA,"43624",NA,"35000",NA,"34320",NA,NA,"40020",NA,NA,NA,NA,NA,NA,"33141",NA,NA,NA,NA,"39376",NA,NA,NA,NA,"32818",NA,NA,NA,NA,NA,NA,"41902","32648",NA,"39856",NA,NA,NA,NA,NA,NA,"38494","48903","3355106","36236",NA,"35207","50068",NA,NA,NA,NA,NA,"34939",NA,"117369",NA,NA,NA,NA,"38051","38288","32426",NA,"32932",NA,NA,"40264",NA,NA,NA,"40975",NA,"41458",NA,NA,NA,"34554",NA,"31475",NA,NA,"319008",NA,NA,NA,NA,NA,"44096",NA,"34648","36933",NA,NA,"39116",NA,NA,"35627","5740275",NA,"32323",NA,NA,"36753",NA,"38657","38816","36705","37006",NA,"53586",NA,NA,NA,NA,NA,"41304",NA,NA,NA,NA,NA,"246552",NA,"33772",NA,"40619",NA,NA,NA,NA,NA,NA,"42484",NA,"38824",NA,NA,"37072",NA,NA,"43794","33039",NA,NA,"45012",NA,NA,"36026",NA,NA,"39901",NA,NA,NA,NA,NA,NA,NA,NA,"53557","43787",NA,NA,NA,NA,NA,"42171","36138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"833",NA,NA,NA,NA,"41458",NA,NA,NA,"40096","44920",NA,"37929",NA,NA,NA,NA,"43830",NA,"37401",NA,"37311",NA,NA,"33219",NA,NA,NA,NA,NA,NA,"42512",NA,NA,NA,NA,"37009",NA,NA,NA,NA,"5740831",NA,NA,NA,NA,NA,NA,"32152","43832",NA,"326216",NA,NA,NA,NA,NA,NA,"41179","32446","42050","3885567",NA,"33392","48311",NA,NA,NA,NA,NA,"39194",NA,"39241",NA,NA,NA,NA,"40263","35396","49636",NA,"32520",NA,NA,"41074",NA,NA,NA,"38045",NA,"36510",NA,NA,NA,"42841",NA,"41066",NA,NA,"44274",NA,NA,NA,NA,NA,"39650",NA,"317833","35228",NA,NA,"34660",NA,NA,"41172","31665",NA,"5740758",NA,NA,"43633",NA,"35546","39887","34489","37458",NA,"39932",NA,NA,NA,NA,NA,"42185",NA,NA,NA,NA,NA,"41694",NA,"36131",NA,"42772",NA,NA,NA,NA,NA,NA,"42325",NA,"43984",NA,NA,"36915",NA,NA,"32941","31967",NA,NA,"39536",NA,NA,"40667",NA,NA,"3771951",NA,NA,NA,NA,NA,NA,NA,NA,"246384","42455",NA,NA,NA,NA,NA,"32579","36978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
